category_id,category_name,product_id,name,price,regular_price,sale_price,coupon_price,image_url
412,이동식행거,4007402,HICKIES 이동식 옷걸이 2단 수납 바구니 드레스룸 밸런스핏 철제 행거,26900,38900,26900,25555.0,https://image.ohou.se/image/central_crop/bucketplace-v2-development/uploads-openapi-1333911-1774404040204.jpg/640/640
412,이동식행거,1240400,아기 행거 샘키즈 멍뭉이 옷정리 선반 행거 국내생산 키즈 반려견 다용도,25700,27700,25700,19789.0,https://prs.ohouse.com/apne2/any/uploads/productions/v1-497368693526528.jpg?w=640
412,이동식행거,1896009,트롤리행거 미드센츄리모던 빈티지 뉴트로 스테인리스 수납 이동식 바스켓 카트 옷걸이,69900,89900,69900,,https://image.ohou.se/image/central_crop/bucketplace-v2-development/uploads-productions-167700149316143682.jpg/640/640
412,이동식행거,1396590,트롤리 수납 이동 행거 (1단/2단) 2colors,36900,50000,36900,35055.0,https://image.ohou.se/image/central_crop/bucketplace-v2-development/uploads-productions-165358393799133967.jpg/640/640
412,이동식행거,126962,스틸 행거 기본형,52900,99000,52900,47610.0,https://image.ohou.se/image/central_crop/bucketplace-v2-development/uploads-productions-1558594264852_E0h.jpg/640/640
412,이동식행거,2064250,아이방 옷정리 이동식 원목 아기옷 키즈 행거 2단 우드 190cm,105000,130000,105000,,https://image.ohou.se/image/central_crop/bucketplace-v2-development/uploads-productions-168361438330901522.jpg/640/640
412,이동식행거,3008245,이동식 바지걸이 행거 2단 800,40400,69900,40400,38380.0,https://prs.ohou.se/apne2/any/uploads/productions/v1-272040536744064.jpg?w=640
412,이동식행거,126184,이동식 수납 행거 대형 2color,59900,109000,59900,50915.0,https://image.ohou.se/image/central_crop/bucketplace-v2-development/uploads-productions-1558489711440_gPXGgR4str.jpg/640/640
413,고정식행거,318814,튼튼한 무타공 2단~7단 행거 드레스룸 고정 설치 선반 옷걸이 커튼 시스템,66800,91480,66800,62124.0,https://prs.ohouse.com/apne2/any/uploads/productions/v1-503144343519360.jpg?w=640
413,고정식행거,306333,왕자 네오스페이스 (베이직2단),40900,53900,40900,,https://image.ohou.se/image/central_crop/bucketplace-v2-development/uploads-openapi-532304-1785138959285.png/640/640
413,고정식행거,301686,특허받은 고정식 튼튼한행거 3단 M 3colors,56900,65000,56900,52917.0,https://image.ohou.se/image/central_crop/bucketplace-v2-development/uploads-productions-161277665898233087.jpg/640/640
413,고정식행거,1325358,튼튼한 5단 무타공 드레스룸 커튼 시스템 행거 EF-S415,176000,220000,176000,166000.0,https://prs.ohouse.com/apne2/any/uploads/productions/v1-492119851421824.jpg?w=640
413,고정식행거,1320358,튼튼한 드레스룸 시스템 선반 행거 EF-406 6단 옷장 옷걸이 행거 2colors,109600,136970,109600,101928.0,https://image.ohou.se/image/central_crop/bucketplace-v2-development/uploads-productions-169812312821447508.jpg/640/640
413,고정식행거,2356746,아다만트 빈티지실버 2m 철제 2단 파이프 옷가게 드레스룸 옷방 튼튼한 행거,186000,550000,186000,184140.0,https://prs.ohouse.com/apne2/any/uploads/productions/v1-500606721925248.png?w=640
413,고정식행거,301627,왕자 네오스페이스(어바웃 드레스룸 2P 밀폐기본형) 플레인,89000,105900,89000,,https://image.ohou.se/image/central_crop/bucketplace-v2-development/uploads-productions-1589243284_111521_1.jpg/640/640
413,고정식행거,302091,특허받은 고정식 튼튼한행거 4단 M 3colors,61900,75000,61900,57567.0,https://image.ohou.se/image/central_crop/bucketplace-v2-development/uploads-productions-161277672580019335.jpg/640/640
413,고정식행거,306327,왕자 네오스페이스 (베이직코너4단),56500,75900,56500,,https://image.ohou.se/image/central_crop/bucketplace-v2-development/uploads-openapi-532304-1785203989469.png/640/640
413,고정식행거,347959,특허받은 고정식 튼튼한행거 2단 M 3colors,38900,45000,38900,36177.0,https://image.ohou.se/image/central_crop/bucketplace-v2-development/uploads-productions-161277679921464251.jpg/640/640
413,고정식행거,301630,왕자 네오스페이스(어바웃 드레스룸 3P 밀폐선반형) 플레인,135000,188900,135000,130950.0,https://image.ohou.se/image/central_crop/bucketplace-v2-development/uploads-openapi-532304-1679899596710.jpg/640/640
413,고정식행거,1347641,심플 베란다/다용도실 & 실내용 천장 행거 (22mm 파이프),34500,34500,34500,,https://image.ohou.se/image/central_crop/bucketplace-v2-development/uploads-productions-165243409381272790.jpg/640/640
